0,- Geen -
1,WebSphere MQ 8.0 (AIX)
2,XL C/C++ for AIX (Runtime)
3,Websphere MQ 7.5 (Windows / Redhat)
4,SQL Server EE
5,Oracle Weblogic Server 12c
6,Oracle Database Server EE 12c
7,Oracle Database Server EE 11.2
8,Extend
9,Biztalk Server EE
10,Apache Tomcat 8.0
11,Apache HTTP Server
12,IBM HTTP Server
13,IIS FTP Server
14,Oracle client 12c
15,JBoss Enterprise Application Platform 6.3
16,Java JRE
17,IIS Web Server
18,.Net framework 4.5
