vmd010140178038	3222	jfs2	/data1	AIX Storage Pool	100	datavn1	datavg1	Decommissioned
vmd010140178038	3223	jfs2	/data2	AIX Storage Pool	100	datavn2	datavg2	Decommissioned
vmd010140178018	3408	NTFS	E	VMWare Additional Disk Pool	50			Decommissioned
vmd010140178018	14922	NTFS	F	VMWare Additional Disk Pool	100			Decommissioned
vmd010140178022	14929	NTFS	E	VMWare Additional Disk Pool	100			Decommissioned
vmd010140178022	7940	NTFS	F	VMWare Additional Disk Pool	0			Decommissioned
vmd010140178057	14921	NTFS	E	VMWare Additional Disk Pool	100			Decommissioned
vmd010140178057	7941	NTFS	F	VMWare Additional Disk Pool	0			Decommissioned
vmd010140178076	5060	jfs2		AIX Storage Pool	100	datavn1	datavg1	Decommissioned
vmd010140178076	5061	jfs2		AIX Storage Pool	60	datavn2	datavg2	Decommissioned
vmd010140178076	5062	jfs2		AIX Storage Pool	40	datavn3	datavg3	Decommissioned
vmd010140178058	5082	NTFS	E	VMWare Additional Disk Pool	0			Operational
vmd010140178077	5086	jfs2		AIX Storage Pool	150	datavn1	datavg1	Decommissioned
vmd010140178077	5087	jfs2		AIX Storage Pool	50	datavn2	datavg2	Decommissioned
vmd010140178077	5088	jfs2		AIX Storage Pool	30	datavn3	datavg3	Decommissioned
vmd010140178077	5089	jfs2		AIX Storage Pool	30	datavn4	datavg4	Decommissioned
vmd010140178077	5090	jfs2		AIX Storage Pool	40	datavn5	datavg5	Decommissioned
vmd010140178078	5100	jfs2		AIX Storage Pool	40	datavn6	datavg6	Decommissioned
vmd010140178078	5095	jfs2		AIX Storage Pool	30	datavn1	datavg1	Decommissioned
vmd010140178078	5096	jfs2		AIX Storage Pool	30	datavn2	datavg2	Decommissioned
vmd010140178078	5097	jfs2		AIX Storage Pool	40	datavn3	datavg3	Decommissioned
vmd010140178078	5098	jfs2		AIX Storage Pool	30	datavn4	datavg4	Decommissioned
vmd010140178078	5099	jfs2		AIX Storage Pool	30	datavn5	datavg5	Decommissioned
vmd010140178079	5105	jfs2		AIX Storage Pool	30	datavn1	datavg1	Decommissioned
vmd010140178079	5106	jfs2		AIX Storage Pool	30	datavn2	datavg2	Decommissioned
vmd010140178079	5107	jfs2		AIX Storage Pool	30	datavn3	datavg3	Decommissioned
vmd010140178079	5108	jfs2		AIX Storage Pool	30	datavn4	datavg4	Decommissioned
vmd010140178079	5109	jfs2		AIX Storage Pool	40	datavn5	datavg5	Decommissioned
vmd010140178079	5110	jfs2		AIX Storage Pool	40	datavn6	datavg6	Decommissioned
vmd010140178079	5111	jfs2		AIX Storage Pool	50	datavn7	datavg7	Decommissioned
vmd010140178079	5112	jfs2		AIX Storage Pool	50	datavn8	datavg8	Decommissioned
