BAS	Bas		02/07/2019	9999-12-30 00:00:00	DECOMMISSIONED	02/07/2019 - 16:14
Basisplatform app diensten	Basisplatform app diensten		15/10/2018	9999-12-30 00:00:00	Operational	15/10/2018 - 14:44
Basware	Basware test servers		05/06/2013	9999-12-30 00:00:00	CANCELED	05/06/2013 - 13:04
basware 2017	basware 2017		06/12/2017	9999-12-30 00:00:00	Operational	06/12/2017 - 14:37
BAS_20171010	BAS_20171010		16/10/2017	9999-12-30 00:00:00	Operational	16/10/2017 - 14:45
Bas_ware	Basware Test servers		05/06/2013	9999-12-30 00:00:00	DECOMMISSIONED	20/12/2018 - 08:13
BBS	BBS Betalingsonmacht systeem		01/08/2017	9999-12-30 00:00:00	Operational	01/08/2017 - 09:33
BeheerserverT			23/04/2013	9999-12-30 00:00:00	DECOMMISSIONED	02/05/2013 - 16:02
Bevindingen	Bevindingen test		24/01/2013	2013-02-07 14:13:00	CANCELED	24/01/2013 - 16:51
Bevindingen LPAR	Bevindingen LPAR		24/01/2013	2013-02-07 14:29:00	CANCELED	24/01/2013 - 17:21
Bevindingen LPAR 2	Bevindingen LPAR		05/02/2013	2013-03-01 12:47:00	DECOMMISSIONED	05/03/2013 - 14:18
Bevindingen VM	Bevindingen VM		05/02/2013	2013-03-01 12:49:00	DECOMMISSIONED	05/03/2013 - 14:09
big_fix_test	big_fix_test		27/06/2018	9999-12-30 00:00:00	DRAFT	27/06/2018 - 14:05
big_fix_test	big_fix_test		27/06/2018	9999-12-30 00:00:00	DECOMMISSIONED	26/10/2018 - 08:35
Bit	Bit ontwikkel en test servers		24/05/2013	9999-12-30 00:00:00	Operational	27/05/2013 - 15:28
Bit - MOM	Bit - MOM		16/09/2014	9999-12-30 00:00:00	Operational	16/09/2014 - 15:21
BIT 03092019	BIT 03092019		03/09/2019	9999-12-30 00:00:00	Operational	03/09/2019 - 12:25
bit_tijdelijk	bit_tijdelijk		10/05/2016	9999-12-30 00:00:00	DECOMMISSIONED	24/10/2019 - 10:30
BT Opleiding Server	BT Opleiding Server		11/01/2019	9999-12-30 00:00:00	Operational	11/01/2019 - 18:11
BVV	BVV		24/09/2019	9999-12-30 00:00:00	Operational	24/09/2019 - 13:26
C-DCT	C-DCT		29/12/2015	onbepaald	DRAFT	29/12/2015 - 11:38
C-DCT	C-DCT		29/12/2015	9999-12-30 00:00:00	Operational	29/12/2015 - 11:22
CBBS	CBBS in OTOD			onbepaald	DECOMMISSIONED	30/04/2014 - 11:54
CBBS	CBBS in Otod TEST		02/05/2014	9999-12-30 00:00:00	DECOMMISSIONED	05/05/2014 - 09:50
CBBS	CBBS in Otod Test		05/05/2014	9999-12-30 00:00:00	CANCELED	05/05/2014 - 09:54
CBBS	CBBS in Otod Test		14/05/2014	9999-12-30 00:00:00	CANCELED	14/05/2014 - 14:23
CBBS	CBBS in Otod Test		14/05/2014	9999-12-30 00:00:00	DECOMMISSIONED	06/08/2014 - 13:13
CBBS-T	CBBS in Otod Test		06/08/2014	9999-12-30 00:00:00	DECOMMISSIONED	27/12/2018 - 12:19
CCA-SAZP	CCA-SAZP		16/07/2019	9999-12-30 00:00:00	Operational	16/07/2019 - 10:39
CIA_OTOD1_20190401			01/04/2019	9999-12-30 00:00:00	CANCELED	01/04/2019 - 09:03
CIA_OTOD1_20190401			03/04/2019	9999-12-30 00:00:00	CANCELED	03/04/2019 - 07:59
CIA_OTOD1_20190401			03/04/2019	9999-12-30 00:00:00	DECOMMISSIONED	23/08/2019 - 09:07
Cloud Control	Cloud Control		22/10/2018	9999-12-30 00:00:00	Operational	22/10/2018 - 15:06
Confluence-Cricible	Confluence en Crucible Server		03/11/2016	9999-12-30 00:00:00	Operational	03/11/2016 - 08:49
Confluence-Crucible server	Confluence-Crucible server		01/11/2016	9999-12-30 00:00:00	DECOMMISSIONED	03/11/2016 - 08:42
coretestres	test		07/05/2013	9999-12-30 00:00:00	DECOMMISSIONED	07/05/2013 - 17:42
Dagloon	Dagloon		02/06/2015	9999-12-30 00:00:00	DECOMMISSION_FAILED	19/07/2019 - 16:56
Dagloon 22012019	Dagloon 22012019		22/01/2019	9999-12-30 00:00:00	CANCELED	22/01/2019 - 12:14
Dagloon 22012019	Dagloon 22012019		22/01/2019	9999-12-30 00:00:00	DRAFT	22/01/2019 - 12:23
Dagloon 22012019	Dagloon 22012019		22/01/2019	9999-12-30 00:00:00	Operational	22/01/2019 - 13:21
Dashboard Banen			04/12/2018	9999-12-30 00:00:00	DECOMMISSIONED	19/06/2019 - 17:41
Data Analytics BCK	Data Analytics BCK		01/03/2019	9999-12-30 00:00:00	Operational	01/03/2019 - 11:01
Databasehotel	Databasehotel		14/03/2017	9999-12-30 00:00:00	CANCELED	14/03/2017 - 11:07
DatabaseHotel	DatabaseHotel		14/03/2017	9999-12-30 00:00:00	DECOMMISSIONED	14/03/2017 - 11:36
DatabaseHotel	DatabaseHotel		14/03/2017	9999-12-30 00:00:00	Operational	14/03/2017 - 11:57
Datacap	Datacap		21/09/2017	9999-12-30 00:00:00	Operational	21/09/2017 - 10:51
Datafabriek ETL 06082018	Datafabriek ETL 06082018		06/08/2018	9999-12-30 00:00:00	DRAFT	06/08/2018 - 12:46
Datafabriek ETL 06082018	Datafabriek ETL 06082018		06/08/2018	9999-12-30 00:00:00	DECOMMISSIONED	06/08/2018 - 15:04
DB-Hotel	Database Hotel		05/12/2016	onbepaald	DRAFT	05/12/2016 - 11:09
DB-Hotel	Database Hotel		05/12/2016	9999-12-30 00:00:00	DECOMMISSIONED	06/12/2016 - 16:54
DC	DNS server		15/11/2012	9999-12-30 00:00:00	DECOMMISSIONED	22/11/2012 - 10:39
DC Dev	DC in DEV domein		26/04/2013	9999-12-30 00:00:00	DECOMMISSIONED	07/05/2013 - 11:45
DC_DNS_O	Domain Controller DNS Ontwikkel		03/12/2012	9999-12-30 00:00:00	DECOMMISSIONED	11/02/2013 - 12:00
DC_DNS_T	Domain Controller DNS		03/12/2012	9999-12-30 00:00:00	DECOMMISSIONED	11/02/2013 - 12:00
DevBeheer	Beheer server	Edward Elgeti	31/05/2013	9999-12-30 00:00:00	Operational	31/05/2013 - 13:48
Dico	Dico		04/07/2017	9999-12-30 00:00:00	DECOMMISSIONED	29/11/2018 - 14:39
Digitale Dienstverlening	Digitale Dienstverlening		26/09/2018	9999-12-30 00:00:00	Operational	26/09/2018 - 17:01
DIM	DIM		12/02/2016	onbepaald	DRAFT	12/02/2016 - 14:38
DIM	DIM		12/02/2016	9999-12-30 00:00:00	DECOMMISSIONED	19/12/2016 - 11:06
Disco	Disco!		04/07/2017	9999-12-30 00:00:00	DECOMMISSIONED	04/07/2017 - 12:47
DIV - MOM	Multichannel Output Management		14/02/2014	9999-12-30 00:00:00	DECOMMISSIONED	25/04/2019 - 09:54
DIV - Zomer	Testomgeving Zomer		01/04/2014	9999-12-30 00:00:00	DECOMMISSIONED	11/04/2019 - 08:39
DIV MOM	Multitchannel Output Management		14/02/2014	9999-12-30 00:00:00	CANCELED	14/02/2014 - 22:25
DIV Regielaag - GOH	DIV Regielaag - GOH		15/12/2015	9999-12-30 01:00:00	DECOMMISSIONED	26/06/2020 - 12:47
DLA_2018	Doelgroepverklaring Loonkostenvoordeel Aanvraagafhandeling		05/01/2018	9999-12-30 00:00:00	DRAFT	05/01/2018 - 10:08
DLA_2018	Doelgroepverklaring Loonkostenvoordeel Aanvraagafhandeling	Maurice de Zwart	05/01/2018	9999-12-30 00:00:00	Operational	05/01/2018 - 10:36
DMO	Dagloon		30/01/2014	9999-12-30 00:00:00	DECOMMISSIONED	31/10/2015 - 16:07
Domain_cPilot	Pilot Domain Controller		27/11/2012	9999-12-30 00:00:00	DECOMMISSIONED	03/12/2012 - 14:41
DRL - GOH	DRL - GOH		22/01/2016	9999-12-30 00:00:00	Operational	22/01/2016 - 17:27
DRL_20190510	DRL_20190510		10/05/2019	9999-12-30 00:00:00	Operational	10/05/2019 - 14:12
Dwangsom	Dwangsom		03/05/2017	onbepaald	DRAFT	03/05/2017 - 12:45
Dwangsom	Dwangsom		03/05/2017	9999-12-30 00:00:00	Operational	03/05/2017 - 10:57
DWBB	DWBB		15/06/2016	9999-12-30 00:00:00	DECOMMISSIONED	31/08/2018 - 12:55
DWBB	DWBB		14/06/2016	9999-12-30 00:00:00	DECOMMISSIONED	15/06/2016 - 12:22
DWBB_ont	DWBB Ontwikkel omgeving		15/06/2016	onbepaald	DRAFT	15/06/2016 - 16:04
DWBB_ont	DWBB Ontwikkel omgeving		15/06/2016	9999-12-30 00:00:00	DECOMMISSIONED	16/06/2016 - 12:26
DWU en Mashup	DWU en Mashup		09/09/2014	9999-12-30 00:00:00	DECOMMISSIONED	03/03/2015 - 17:46
E-Intake	E-Intake		07/01/2019	9999-12-30 00:00:00	Operational	07/01/2019 - 10:17
E-Portalen	E-Portalen		18/01/2019	9999-12-30 00:00:00	Operational	18/01/2019 - 11:39
E-Publiek	E-Publiek		09/09/2019	9999-12-30 00:00:00	Operational	09/09/2019 - 13:18
E-Werkgever	E-Werkgever Otod migratie KenS		20/06/2016	9999-12-30 00:00:00	Operational	20/06/2016 - 11:22
EAED - Test	EAED - Test		14/07/2015	9999-12-30 01:00:00	DECOMMISSIONED	15/05/2020 - 16:43
EAED 13092018	EAED 13092018		13/09/2018	9999-12-30 00:00:00	Operational	13/09/2018 - 07:32
EAED 20032019	EAED 20032019		20/03/2019	9999-12-30 00:00:00	Operational	20/03/2019 - 10:37
EAED dev	DEV Capgemini		11/06/2014	9999-12-30 00:00:00	CANCELED	11/06/2014 - 18:08
EAED DEV	Dev Capgemini		12/06/2014	9999-12-30 00:00:00	CANCELED	12/06/2014 - 10:24
EAED Dev	Dev Capgemini		12/06/2014	9999-12-30 00:00:00	CANCELED	12/06/2014 - 15:58
EAED Dev	Dev Capgemini		12/06/2014	9999-12-30 00:00:00	DECOMMISSIONED	15/10/2015 - 09:10
EAED FEM server	FEM server	Remo Cantatore	01/09/2015	9999-12-30 01:00:00	DECOMMISSIONED	15/05/2020 - 16:17
EAED_LOMO	EAED_LOMO		03/02/2020	9999-12-30 01:00:00	Operational	03/02/2020 - 11:00
Eduardo_sandbox	Oefenserver voor Eduardo		20/01/2017	2017-02-03 15:11:00	DECOMMISSIONED	20/01/2017 - 15:47
EDVbus 2018	EDVbus		12/03/2018	9999-12-30 00:00:00	Operational	12/03/2018 - 08:38
EDVLP	EDVLP		08/10/2019	9999-12-30 00:00:00	CANCELED	08/10/2019 - 11:26
EDVLP	EDVLP		08/10/2019	9999-12-30 00:00:00	CANCELED	08/10/2019 - 12:29
EDVLP	EDVLP		10/10/2019	9999-12-30 01:00:00	DECOMMISSIONED	29/11/2019 - 11:45
een_Mijnomgeving	een_Mijnomgeving		22/09/2014	9999-12-30 00:00:00	DECOMMISSIONED	28/05/2015 - 13:15
een_Mijnomgeving-Linux	een_Mijnomgeving-Linux		22/10/2014	9999-12-30 00:00:00	CANCELED	22/10/2014 - 11:19
eFlow	eFlow		13/10/2014	9999-12-30 00:00:00	CANCELED	13/10/2014 - 17:35
eFlow	eFlow		14/10/2014	9999-12-30 00:00:00	Operational	14/10/2014 - 15:04
EGV 02082018	EGV 02082018		02/08/2018	9999-12-30 00:00:00	DRAFT	02/08/2018 - 08:15
EGV 02082018	EGV 02082018		02/08/2018	9999-12-30 00:00:00	Operational	02/08/2018 - 08:43
Eigen Otod Zakelijk Portaal	Eigen Otod Zakelijk Portaal		01/03/2016	9999-12-30 00:00:00	CANCELED	01/03/2016 - 11:03
Eigen Zakelijk Portaal	Eigen Otod Zakelijk Portaal		01/03/2016	9999-12-30 00:00:00	Operational	01/03/2016 - 11:53
Elise	Elise		15/11/2016	9999-12-30 00:00:00	DECOMMISSIONED	30/11/2016 - 10:57
Elise2	Elise2		30/11/2016	9999-12-30 00:00:00	Operational	30/11/2016 - 14:17
ELM	ELM		03/09/2018	9999-12-30 00:00:00	DRAFT	03/09/2018 - 12:41
ELM	ELM		03/09/2018	9999-12-30 00:00:00	Operational	03/09/2018 - 12:53
emailtest1	mailtest1		10/12/2012	2012-12-26 00:00:00	DECOMMISSIONED	26/12/2012 - 00:02
emailtest2	emailtest2		13/12/2012	2012-12-27 16:48:00	CANCELED	13/12/2012 - 19:09
EMO	EMO		04/12/2015	onbepaald	DRAFT	04/12/2015 - 12:13
EMO	EMO		04/12/2015	9999-12-30 00:00:00	CANCELED	04/12/2015 - 11:19
EMO_Mijn	EMO		04/12/2015	9999-12-30 00:00:00	DECOMMISSIONED	23/08/2016 - 17:25
EMO_Mijn_oracle	EMO Oracle		23/08/2016	9999-12-30 00:00:00	CANCELED	23/08/2016 - 11:28
EMO_Mijn_oracle	EMO Oracle		23/08/2016	9999-12-30 00:00:00	DECOMMISSIONED	14/08/2017 - 10:03
EPM-UGC	EPM-UGC		14/01/2019	9999-12-30 00:00:00	Operational	14/01/2019 - 11:32
ESXpatch			17/07/2015	2015-07-18 20:41:00	DECOMMISSIONED	18/07/2015 - 22:44
ETL	ETL		26/05/2015	9999-12-30 00:00:00	CANCELED	26/05/2015 - 10:32
ETL Datafabriek	ETL Datafabriek		06/06/2019	9999-12-30 00:00:00	DRAFT	06/06/2019 - 10:51
ETL Datafabriek	ETL Datafabriek		06/06/2019	9999-12-30 00:00:00	Operational	06/06/2019 - 11:14
ETL_	ETL		26/05/2015	9999-12-30 00:00:00	DECOMMISSIONED	26/05/2015 - 13:15
ETL__	ETL		01/06/2015	9999-12-30 00:00:00	DECOMMISSIONED	07/09/2016 - 10:14
Eures	Eures		12/09/2017	9999-12-30 00:00:00	Operational	12/09/2017 - 10:45
FIV			17/08/2017	9999-12-30 00:00:00	Operational	17/08/2017 - 10:54
Fleks	Fleks		24/11/2014	9999-12-30 00:00:00	Operational	24/11/2014 - 12:14
Fleks - GOH	Fleks groot onderhoud		01/09/2015	9999-12-30 00:00:00	Operational	01/09/2015 - 12:41
FLEKS 04012018	FLEKS 04012018		04/01/2018	9999-12-30 00:00:00	Operational	04/01/2018 - 10:34
FLEKS 25092018	FLEKS 25092018		25/09/2018	9999-12-30 00:00:00	Operational	25/09/2018 - 14:02
Fleks BenB	Fleks BenB		04/11/2015	onbepaald	DRAFT	04/11/2015 - 09:24
Fleks BenB	Fleks BenB		04/11/2015	9999-12-30 00:00:00	Operational	04/11/2015 - 09:05
Fleks Groot onderhoud	Fleks Groot onderhoud		01/09/2015	9999-12-30 00:00:00	CANCELED	01/09/2015 - 11:52
FLEKS-LAB_DWBB	FLEKS LAB DWBB		27/11/2015	9999-12-30 00:00:00	DECOMMISSIONED	09/05/2017 - 11:34
Fleks_20190513	Fleks_20190513		13/05/2019	9999-12-30 00:00:00	Operational	13/05/2019 - 15:01
FLEKS_GOH_tijdelijk	Tijdelijke restore FLEKS_GOH		20/11/2015	2015-12-04 10:54:00	DECOMMISSIONED	24/11/2015 - 11:39
FLEKS_LAB_DWBB	FLEKS LAB DWBB		26/11/2015	onbepaald	DRAFT	26/11/2015 - 11:53
FLEKS_LAB_DWBB	FLEKS LAB DWBB		26/11/2015	9999-12-30 00:00:00	DECOMMISSIONED	27/11/2015 - 11:24
GCU	GCU		04/05/2016	9999-12-30 00:00:00	DECOMMISSIONED	28/06/2018 - 07:04
GCU_2018	GCU		16/08/2018	9999-12-30 00:00:00	Operational	16/08/2018 - 16:04
GD Polis 2017	GD Polis 2017		02/06/2017	9999-12-30 00:00:00	Operational	02/06/2017 - 17:28
GD Polis 2017			02/06/2017	9999-12-30 00:00:00	DECOMMISSIONED	02/06/2017 - 16:28
GD Polis+			14/01/2014	9999-12-30 00:00:00	CANCELED	14/01/2014 - 14:25
GD Polis+			15/01/2014	9999-12-30 00:00:00	CANCELED	15/01/2014 - 20:54
GD Polis+	GD Polis +		17/01/2014	9999-12-30 00:00:00	Operational	17/01/2014 - 18:59
GIIO	GIIO ontwikkel en test servers		20/06/2013	9999-12-30 00:00:00	Operational	20/06/2013 - 13:31
GIIO_oracle	GIIO ontwikkel en test servers Oracle		19/08/2016	onbepaald	DRAFT	19/08/2016 - 14:34
GIIO_oracle	GIIO ontwikkel en test servers Oracle		19/08/2016	9999-12-30 00:00:00	CANCELED	19/08/2016 - 12:41
GIIO_oracle	GIIO ontwikkel en test servers Oracle		19/08/2016	9999-12-30 00:00:00	DECOMMISSIONED	15/07/2019 - 07:24
Gina	Generieke INkomsten Applicatie		04/08/2014	9999-12-30 00:00:00	DECOMMISSIONED	07/01/2019 - 11:05
GOH CBBS_T 2018	GOH CBBS_T 2018		08/06/2018	9999-12-30 00:00:00	DRAFT	08/06/2018 - 13:20
GOH CBBS_T 2018	GOH CBBS_T 2018		08/06/2018	9999-12-30 00:00:00	Operational	08/06/2018 - 13:32
GOH Gina 2018	Groot Onderhoud GINA		02/05/2018	9999-12-30 00:00:00	DECOMMISSIONED	02/05/2018 - 10:56
GOH Gina 2018	Groot Onderhoud GINA		02/05/2018	9999-12-30 00:00:00	Operational	02/05/2018 - 11:54
GOH KAS	GOH		01/06/2016	9999-12-30 01:00:00	DECOMMISSIONED	25/05/2020 - 10:36
